Loaded 3616103 Gaussians
min xyz= [-64.89617, -82.048355, -71.523445]
max xyz= [54.875557, 14.872151, 97.003265]
rotation=[0.99450654, -0.027481828, -0.09825481, -0.023402322]
rotation=[0.99387324, -0.06793803, 0.0068303295, 0.08691262]
rotation=[0.99510515, -0.05189624, 0.0031145376, 0.08404146]
rotation=[0.99639094, -0.046511054, 0.012124153, 0.06996318]
rotation=[0.957196, 0.07713461, -0.22911584, -0.15916006]
rotation=[0.94686395, 0.053470656, -0.2626211, -0.17781927]
rotation=[0.9932656, -0.04593365, -0.018577524, 0.104730204]
rotation=[0.9583445, 0.09180135, -0.17785731, 0.20375222]
rotation=[0.9865677, -0.026595125, -0.025360584, 0.15916567]
rotation=[0.99727565, 0.06284435, -0.0342269, 0.017897692]
rotation=[0.99559134, 0.044422302, -0.08261085, -0.00034681027]
rotation=[0.9898732, 0.09792993, -0.03465595, 0.09674603]
rotation=[0.98275715, 0.098959744, 0.0210509, 0.15476494]
rotation=[0.9837482, -0.107279085, 0.025110694, 0.14177509]
rotation=[0.9717342, -0.11370474, 0.043244697, 0.20232123]
rotation=[0.96756387, -0.118819535, 0.052054048, 0.21677728]
rotation=[0.96830714, -0.098635085, 0.04534778, 0.22493552]
rotation=[0.97605485, 0.10334474, 0.104981534, 0.16004862]
rotation=[0.9898752, 0.097925685, -0.034739405, 0.096699625]
rotation=[0.98258334, 0.16479667, 0.053714514, 0.06698309]
rotation=[0.9955623, 0.066872604, -0.062555075, -0.021694407]
rotation=[0.9982094, 0.04435022, -0.04013471, -0.00028579638]
rotation=[0.9982086, 0.04434587, -0.040160917, -0.00027278095]
rotation=[0.9870283, -0.065562144, -0.14066283, -0.041117296]
rotation=[0.98876905, -0.049872626, -0.10793655, 0.0905444]
rotation=[0.94594646, -0.039280012, 0.11902734, 0.29912367]
rotation=[0.9873804, -0.04986092, -0.05926939, 0.13813421]
rotation=[0.98469067, -0.06870887, -0.08029532, 0.13862164]
rotation=[0.962182, -0.13903761, -0.02267892, 0.23315245]
rotation=[0.93993884, -0.089228414, -0.25571728, 0.20775414]
rotation=[0.9340208, -0.06862628, -0.29239282, 0.19339645]
rotation=[0.93434346, -0.06939563, -0.29179737, 0.19245997]
rotation=[0.9814435, 0.10285373, 0.021747893, 0.16036443]
rotation=[0.99251705, 0.020740803, -0.11782037, 0.024457289]
rotation=[0.99498487, -0.009071072, -0.08315779, 0.05484188]
rotation=[0.98790663, -0.13594629, -0.058290944, -0.046489056]
rotation=[0.99732304, -0.00809851, 0.023378724, 0.06880767]
rotation=[0.9977986, -0.03144552, 0.027773157, 0.051358268]
rotation=[0.72566956, -0.22314024, -0.6168607, 0.20759316]
rotation=[0.74770015, -0.09076163, -0.58588713, 0.2990704]
rotation=[0.75683314, -0.08139669, -0.5599098, 0.3272295]
rotation=[0.70067656, -0.27191964, -0.63762957, 0.16893977]
rotation=[0.6653432, -0.37062645, -0.64532274, 0.059270084]
rotation=[0.71538156, -0.2936752, -0.6181457, 0.1409961]
rotation=[0.73950773, -0.16712825, -0.6133427, 0.221376]
rotation=[0.7185719, -0.15925312, -0.62595934, 0.25781342]
rotation=[0.71231616, -0.17872761, -0.63982016, 0.2264783]
rotation=[0.82296383, 0.12715521, -0.5367611, 0.13582915]
rotation=[0.8940357, -0.033254668, -0.4459846, 0.026303826]
rotation=[0.8432271, -0.3281353, -0.36721936, -0.21551186]
rotation=[0.8874844, -0.047514632, -0.4578749, 0.02154611]
rotation=[0.8950953, -0.11335183, -0.4307047, -0.021196498]
rotation=[0.8700021, -0.03534117, -0.48838615, 0.057674024]
rotation=[0.88291854, -0.0265905, -0.467015, 0.040554613]
rotation=[0.8583415, -0.10953946, -0.4997927, -0.03818725]
rotation=[0.59042776, 0.3357177, -0.5620631, 0.47198915]
rotation=[0.87430185, -0.23633549, -0.3969657, -0.14886236]
rotation=[0.87134373, -0.26893657, -0.37378767, -0.16945803]
rotation=[0.89994234, -0.19689316, -0.372702, -0.111490756]
rotation=[0.8029194, 0.047397587, -0.5773884, 0.14034446]
rotation=[0.9050037, -0.104166314, -0.41172466, -0.024502976]
rotation=[0.7266037, 0.45820606, -0.48541164, 0.16269529]
rotation=[0.67858213, 0.5522802, -0.40909174, 0.25914636]
rotation=[0.5105802, 0.4453176, -0.5550166, 0.4826559]
rotation=[0.7117427, 0.2373664, -0.5432096, 0.37683246]
rotation=[0.89486057, -0.21697561, -0.3686753, -0.12737624]
rotation=[0.67924094, 0.5443949, -0.1441907, 0.4706112]
rotation=[0.6421741, 0.5124487, -0.10192786, 0.5609094]
rotation=[0.4703107, 0.40422335, -0.5614656, 0.54787564]
rotation=[0.4485466, 0.4176852, -0.57060254, 0.5465874]
rotation=[0.8677233, 0.15693866, -0.46446088, 0.08186938]
rotation=[0.8626639, 0.19932088, -0.45866206, 0.07557217]
rotation=[0.8674432, 0.1422141, -0.476267, 0.02207289]
rotation=[0.8655991, 0.2367121, -0.4169244, 0.14449802]
rotation=[0.832322, -0.17205009, -0.45303035, -0.26907697]
rotation=[0.8538027, -0.16548546, -0.4216312, -0.2566371]
rotation=[0.8963405, 0.059321728, -0.43481797, -0.06315006]
rotation=[0.82236123, 0.33004504, -0.4478156, 0.11938754]
rotation=[0.84170705, 0.2886739, -0.4499435, 0.07581201]
rotation=[0.8008339, 0.41035175, -0.3184634, 0.29808995]
rotation=[0.8236676, 0.29992625, -0.44850418, 0.17452787]
rotation=[0.83936745, 0.34753552, -0.3559387, 0.21906395]
rotation=[0.6479444, 0.5722759, -0.20584549, 0.45858034]
rotation=[0.8908856, 0.18531959, -0.40146405, 0.10395161]
rotation=[0.8575755, 0.15098365, -0.46714643, 0.15343547]
rotation=[0.6232309, 0.5909669, -0.17862654, 0.4800353]
rotation=[0.64539605, 0.5829882, -0.14654927, 0.47128758]
rotation=[0.83514035, 0.28579387, -0.45134205, 0.13096854]
rotation=[0.9082666, 0.016697831, -0.4148949, -0.051332723]
rotation=[0.85892487, 0.34098905, -0.31411007, 0.21750738]
